Acai,5g,19g,4g,207
Dorade,22g,5g,0g,133
Ei - Vollei,12g,11g,1g,151
Eigelb,17g,31.5g,0g,352
Eisbein roh,20g,13g,0g,197
Eiweiss / Eiklar,10g,0g,1g,44
Ente,15g,16g,0g,204
Entenbrust,16g,10g,0g,154
Entenleber,17g,4g,0g,104
Fleischkäse,18g,15g,0g,207
Fleischwurst,15g,25g,0g,285
Flusskrebs,15g,0.4g,0g,64
Forelle,19g,5g,0g,121
Forelle geräuchert,19g,4.5g,0g,117
Frikadelle,20g,20g,5g,280
Gambas,20g,0.6g,0g,85
Gans,19g,10g,0g,166
Gänsebrust,21g,6.3g,0g,141
Gänsekeule,21g,9.4g,0g,169
Gänseleberpastete,16g,24g,0g,280
Garnelen,22g,0.9g,1.1g,101
Geflügelfleischwurst,25g,15g,0g,235
Geflügelwiener,14g,18g,1.5g,224
Geflügelwurst,15g,18.4g,1.2g,230
Grützwurst,11.2g,17.4g,10.4g,243
Gyros,17g,9g,0g,149
Hackfleisch gemischt,21g,28g,0g,336
Hähnchen,20g,9g,0g,161
Hähnchen gebraten,22g,9.7g,0g,175
Hähnchenbrust,20g,4g,0g,116
Hähnchenleber,20g,4g,0g,116
Hähnchenschenkel,20g,9g,0g,161
Hähnchenschnitzel paniert gebraten,17g,7g,15g,191
Hase,20g,2g,0g,98
Heilbutt,22.8g,1.8g,0g,107
Heringsfilet,18g,15g,0g,207
Hirsch,21g,2g,0g,102
Hummer,20.1g,0.8g,0g,88
Jagdwurst,12g,18g,0g,210
Jakobsmuschel,11.4g,1.2g,0g,56
Kabeljau / Dorsch,18g,0.7g,0g,78
Kalbsbries,14g,3g,0g,83
Kalbsfilet,20g,2.4g,0g,102
Kalbsfleisch,20g,4g,0g,116
Kalbsleber,13g,0.7g,3g,70
Kalbsleberwurst,15g,25g,1.4g,291
Kalbsrücken,20g,3g,0g,107
Kalbsschnitzel,21g,2.8g,0g,109
Kaninchen,22g,6g,0g,142
Karpfen,17g,5g,0g,113
Kasseler,25g,3g,0g,127
Katenschinken,22g,12g,1g,200
Kaviar,27g,15g,4g,259
Kochschinken,20g,3g,1g,111
Köfte türkisch,15.2g,12g,4.9g,188
Krabben,22g,2g,0g,106
Krakauer Wurst,13g,25g,0.2g,278
Lachs (Zucht),20g,12g,0g,188
Lachsforelle,20g,8g,0g,152
Lachsschinken,19g,4g,0g,112
Lammfilet,20g,4.2g,0g,118
Lammfleisch,14g,15g,0g,191
Lammkeule,17g,20g,0g,248
Lammkotelett,13g,22g,0g,250
Lammrücken,18g,15g,0g,207
Landjäger,20g,35g,0g,395
Languste,16g,1.5g,0g,78
Leberkäse,14g,25.5g,2g,294
Leberwurst,15g,30g,0g,330
Lyoner,14.5g,20.4g,1g,246
Makrele,17g,11g,0g,167
Matjes,15.8g,20.1g,0g,244
Mettenden,17g,31g,1g,351
Miesmuscheln,10g,1.8g,0g,56
Mortadella,13g,22g,0g,250
Nackensteak Schwein,19.5g,12.8g,0g,193
Omelett,11g,12g,0.6g,154
Pangasius,16g,1g,0g,73
Parmaschinken fettarm,26g,2.1g,0g,123
Pfefferbeißer,16g,35g,0g,379
Pferdefleisch,19g,3g,0g,103
Putenbrust,22g,1g,0g,97
Putenfleisch,22g,5g,0g,133
Putenhackfleisch,23g,3g,0g,119
Putenleber,20g,6g,0g,134
Putensalami,22g,22g,0g,286
Putenschnitzel,22g,1g,0g,97
Putensteak,22g,1g,0g,97
Räucherlachs,20.7g,7g,0g,146
Rehkeule,20g,1g,0g,89
Rehrücken,20g,5g,0g,125
Rinderbraten,20g,5g,0g,125
Rinderbrühe,3g,1g,3g,33
Rinderfilet,20g,3g,0g,107
Rindergulasch,20g,4g,0g,116
Rinderhackfleisch,20g,12g,0g,188
Rinderhüfte,21g,3g,0g,111
Rinderleber,20g,5g,0g,125
Rindersteak,28g,5g,0g,157
Rindertatar,20g,3g,0g,107
Rinderzunge,14g,10g,0g,146
Rindswurst,18g,21g,0g,261
Rippchen,15g,6.5g,0g,119
Roastbeef,20g,3g,0g,107
Rollmops,14.4g,11g,1g,161
Rotbarsch,20g,4.4g,0g,120
Rührei,12g,14g,1g,178
Rumpsteak,30g,9g,0g,201
Saibling,18.8g,2g,0g,93
Salami,20g,28g,0g,332
Sardinen,22g,12g,0g,196
Schellfisch,20g,1.2g,0g,91
Schinken roh geräuchert,19g,4g,0g,112
Schinkenspeck,29g,24g,0g,332
Schinkenwurst,12g,22g,0g,246
Scholle,16g,1g,0g,73
Schweinebauch,19g,36g,0g,400
Schweinebraten,21g,3g,0g,111
Schweinefilet,20g,4g,0g,116
Schweinegulasch,21g,3g,0g,111
Schweinehackfleisch,20g,25g,0g,305
Schweinehaxe,22g,18g,0g,250
Schweinekotelett,21g,3g,0g,111
Schweineleber,20g,5g,0g,125
Schweinerücken,11g,2.1g,0g,63
Schweineschnitzel. roh,21g,3g,0g,111
Schweineschulter,18g,9g,0g,153
Schweinezunge,21g,3g,0g,111
Schwertfisch,23g,8g,0g,164
Seehecht,17g,2.8g,0g,93
Seelachs,18g,0.8g,0g,79
Seeteufel,15g,1g,0g,69
Seezunge,17g,1g,0g,77
Serrano Schinken,30g,9g,0.4g,203
Spare Ribs mariniert,17.5g,15.9g,2g,221
Speck,5g,85g,0g,785
Spiegelei,12g,14g,1g,178
Stremellachs,25g,12g,0.1g,208
Suppenfleisch Rind,18g,10g,0g,162
Suppenhuhn,15g,20g,0g,240
Surimi,15g,0.9g,7g,96
Sushi,6.5g,0.7g,23.5g,126
Tafelspitz mager roh,20g,2g,1g,102
Teewurst,12g,49g,0g,489
Thunfisch,24g,2g,0g,114
Tintenfisch,15g,1g,0g,69
Weißwurst,10g,25g,0g,265
Welsfilet,18.7g,12g,0g,183
Wiener Schnitzel gebr.,20g,11g,13g,231
Wiener Würstchen,11.1g,22g,0.2g,243
Wildente,11g,8.7g,0g,122
Wildlachs,18g,3g,0g,99
Wildschwein,21g,7g,0g,147
Zander,20g,1g,0g,89
Zwiebelmettwurst,15g,25g,0g,285
Butter,1g,82g,0g,742
Gheebutter,0g,99g,0g,891
Erdnussöl,0g,100g,0g,900
Gänseschmalz,0g,100g,0g,900
Halbfettmargarine,0g,40g,0g,360
Kakaobutter,0g,100g,0g,900
Kokosfett,0g,100g,0g,900
Kokosöl,0g,100g,0g,900
Kräuterbutter,0.9g,78g,0g,706
Kürbiskernöl,0g,100g,0g,900
Leinöl,0g,100g,0g,900
Margarine,0g,80g,0g,720
Mayonnaise,0g,80g,0g,720
Olivenöl,0g,100g,0g,900
Pflanzenöl,0g,100g,0g,900
Rapsöl,0g,100g,0g,900
Remoulade,0g,60g,0g,540
Rindertalg,0g,100g,0g,900
Schweineschmalz,0g,100g,0g,900
Sesamöl,0g,100g,0g,900
Sonnenblumenöl,0g,100g,0g,900
Traubenkernöl,0g,100g,0g,900
Walnussöl,0g,100g,0g,900
Weizenkeimöl,0g,100g,0g,900
Absinth (45% Vol.),0g,0g,10g,430
Aloe Vera Saft,0.1g,0g,0.4g,2
Altbier,0.5g,0g,5.4g,41
Ananassaft,0.4g,0.1g,12g,51
Aperol Likör,0g,0g,25g,191
Apfelsaft,0g,0g,11g,44
Apfelschorle,0g,0g,7g,28
Apfelwein,0g,0g,4g,32
Bier,0g,0g,3g,39
Bier. alkoholfrei,0g,0g,5g,25
Cappuccino,1.5g,1.7g,3g,33
Champagner,0g,0g,5g,92
Cidre,0g,0g,6g,43
Cola,0g,0g,12g,48
Cola light,0g,0g,0.7g,3
Cola Zero,0g,0g,0g,0
Diätbier,0g,0g,2g,33
Diesel,0g,0g,6.8g,44
Eierlikör (20% Vol.),4g,7g,28g,263
Eistee,0g,0g,10g,40
Eiweißshake mit Milch,30.1g,5g,9g,201
Energydrink,0g,0g,13g,52
Espresso,0.1g,0.2g,1.5g,8
Fanta Orange,0.1g,9.2g,9.1g,120
Federweißer,0g,0g,10g,40
Früchtetee,0g,0g,0g,0
Fruchtsaft,0.1g,0.1g,10g,41
Gemüsesaft,0g,0g,7g,28
Gin (40% Vol.),0g,0g,0g,239
Glühwein,0.2g,0g,14g,105
Grapefruitsaft,0.8g,0.1g,10g,44
Grappa (40% Vol.),0g,0g,0g,221
Grüner tee,0.2g,0.1g,0.1g,2
Hafermilch,1g,1.5g,6g,42
Hagebuttentee,0g,0g,0.6g,2
Heiße Schokolade,6.2g,30g,40g,455
Holundersaft,2g,0g,6.8g,35
Hugo Aperitif Cocktail,0.1g,0.1g,13g,72
Jägermeister Kräuterlikör,0g,0g,12g,250
Kaffee komplett,0.1g,0.1g,3.5g,15
Kaffee mit Milch,0.1g,0.1g,0.1g,2
Kaffee schwarz,0.1g,0g,0.3g,2
Karottensaft,0.5g,0.2g,5g,24
Kokoswasser,0.5g,1g,11.9g,59
Kölsch,0g,0g,4g,46
Kräuterlikör (30%),0g,0g,25g,275
Kräutertee,0g,0g,0g,1
Kümmerling Kräuterlikör,0g,0g,10g,248
Latte Macchiato,2.5g,1g,3.8g,47
Likör (20% Vol.),0g,0g,25g,334
Limonade,0g,0g,11g,44
Limonade light,0g,0g,0.7g,3
Malzbier,0.6g,0g,10.8g,46
Mandelmilch gesüßt,0.5g,1.1g,3g,24
Mandelmilch ungesüßt,0.4g,1.1g,0.1g,12
Milchkaffee,0.4g,0.4g,0.2g,6
Mineralwasser,0g,0g,0g,0
Multivitaminsaft,0.3g,0.1g,12g,50
Obstbrand/Obstler (45%),0g,0g,2g,250
Orangensaft,0g,0g,10g,40
Ouzo (38% Vol.),0g,0g,0g,203
Pfefferminztee,0g,0g,0.2g,1
Pilsner Bier,0.4g,0g,3.1g,42
Prosecco,0g,0g,2g,75
Radler,0g,0g,5.8g,38
Ramazotti Kräuterlikör,0g,0g,25g,275
Red Bull,0g,0g,11.3g,45
Red Bull sugarfree,0g,0g,0g,3
Reismilch ungesüßt,0.1g,1.1g,11g,54
Roséwein,0g,0g,3g,72
Rotwein,0.1g,0g,3g,84
Rum (37% Vol.),0g,0g,0g,234
Rum (65% Vol.),0g,0g,0g,312
Sauerkirschsaft,0.1g,0g,12g,48
Schwarzer Johannisbeersaft,0.1g,0.1g,3g,13
Sekt. halbtrocken,0g,0g,4g,86
Sekt. trocken,0g,0g,2g,75
Spezi Mezzo Mix,0g,0g,10g,40
Sprite,0g,0g,9.1g,36
Stroh 80,0g,0g,0g,560
Tee schwarz,0g,0g,0.3g,1
Tomatensaft,0.8g,0.1g,3.8g,19
Tonic Water,0g,0g,9g,36
Traubensaft,0g,0g,17g,68
Trinkschokolade,2.5g,3.5g,14.7g,100
Trinkwasser,0g,0g,0g,0
Weinbrand/Cognac (40%),0g,0g,0g,239
Weingeist/Sprit (95%),0g,0g,2g,237
Weinschorle,0g,0g,2g,8
Weißbier Weizenbier,0g,0g,5g,48
Weißwein,0g,0g,4g,71
Weißweinschorle,0g,0g,2g,35
Weizenbier alkoholfrei,0.4g,0.1g,5.3g,24
Weizenkorn,0g,0g,0g,216
Whisky (40% Vol.),0g,0g,0g,227
Wodka (40% Vol.),0g,0g,0g,220
Zitronensaft,0.3g,0.2g,2.4g,13
Agavendicksaft,0.1g,0.4g,77g,312
Ahornsirup,0g,0g,65g,260
Apfeldicksaft,0g,0g,69g,276
Bonbons,0g,0g,97g,388
Butterkekse,8.4g,12g,72g,430
Dominosteine,3.5g,8g,75g,386
Eiscreme,3.5g,11g,24g,209
Eiscreme,3.8g,12g,20g,203
Eiskaffee,1g,5g,5g,69
Erdnussbutter,21g,55g,12g,627
Erythrit,0g,0g,100g,0
Fruchteis / Sorbet,1g,1g,25g,113
Fruchtzucker,0g,0g,100g,400
Götterspeise gekocht,0g,0g,6g,24
Gummibärchen,5g,0g,80g,340
Honig,0g,0g,78g,312
Isomalt,0g,0g,100g,400
Joghurteis,2g,3g,14g,91
Kakaopulver gezuckert,4g,3g,80g,363
Kandiszucker,0g,0g,100g,400
Karamel,0g,0g,100g,400
Kaugummi,0g,0g,94g,376
Kokosblütenzucker,1g,0.5g,94g,385
Konfitüre,0g,0g,55g,220
Kuvertüre Vollmilch,6.4g,33g,51g,527
Kuvertüre Zartbitter,5.8g,32g,45g,491
Lactit,0g,0g,100g,400
Lakritze,3.8g,0.4g,85g,359
Maltit,0g,0g,100g,400
Maltodextrin,0g,0g,100g,400
Marmelade,0g,0g,78g,312
Marzipan,7g,25g,58g,485
Milchschnitte,8g,28g,34g,420
Milchzucker,0g,0g,100g,400
Müsliriegel,6g,22g,44g,398
Nougat,7g,21g,65g,477
Nuss Nougat Creme,3g,33g,58g,541
Nussschokolade,8g,33g,49g,525
Nutella,6.7g,30.5g,57g,529
Pflaumenmus,0.7g,0g,50g,203
Puderzucker,0g,0g,100g,400
Rohrzucker,0g,0g,100g,400
Rübensaft,0g,0g,69g,276
Sahneies,2g,10g,22g,186
Schokokuss,5g,14g,55g,366
Schokoladeneis,3g,8g,22g,172
Schokoladenpudding gekocht,3.3g,2.5g,19g,112
Schokoriegel,9g,24g,60g,492
Softeis,2g,2g,20g,106
Sorbit,0g,0g,100g,400
Studentenfutter,13g,26.8g,45g,473
Süßstoff,0g,0g,0.2g,20
Tiramisu,5.4g,11.7g,30.4g,249
Traubenzucker,0g,0g,100g,400
Vanillepudding gekocht,3g,1.5g,20g,106
Vanillezucker,0g,0g,100g,400
Vollmilchschokolade,8g,32g,53g,532
Wassereis,0g,0g,25g,100
Weiße Schokolade,4g,30g,65g,546
Xylit,0g,0g,100g,400
Zartbitterschokolade 50%,7g,30g,45g,478
Zartbitterschokolade 75%,8.5g,41g,28g,515
Zartbitterschokolade 85%,10g,50g,19g,566
Zartbitterschokolade 90%,10g,55g,14g,591
Zucker,0g,0g,100g,400
Zuckerrübensirup,1g,0.1g,81g,329
Apfelmus,0.2g,0.2g,17g,71
Bratkartoffeln,1.8g,4.5g,18g,120
Cheeseburger,15g,14g,30g,306
Chili con carne,10g,3.5g,10g,112
Döner,12g,6g,19.8g,181
Donut,5g,25g,49.1g,441
Eiersalat mit Mayonnaise,6.5g,25g,1.4g,257
Erbsensuppe,4.8g,3.7g,10.9g,96
Erdnussflips,10.7g,21g,53g,444
Falafel,12.5g,11.5g,32g,282
Fischstäbchen,12.3g,12.1g,22.4g,248
Flammkuchen,7g,10g,30g,238
Fleischbrühe,0.6g,1g,1g,15
Fleischsalat,4.7g,26.4g,4g,272
Frühlingsrolle,4g,4g,18.4g,126
Gemüsebrühe,0g,0g,1g,4
Gnocchi,3.8g,0.8g,25g,122
Grießbrei,3.7g,2.9g,16g,105
Hamburger,17g,13g,24g,281
Hühnerfrikassee,12.5g,3.3g,3.8g,95
Hühnersuppe,2.4g,1.2g,3.5g,34
Kaiserschmarrn,5g,5g,22g,153
Kartoffeln gekocht,1.5g,0g,16g,70
Kartoffelchips,6g,35g,52g,547
Kartoffelgratin,2g,5g,17g,121
Kartoffelpuffer,6g,15g,25g,259
Kartoffelsalat,3g,12g,12g,168
Kartoffelspalten,1.7g,4g,16g,107
Kartoffelsuppe,1g,1.3g,6.1g,40
Käsespätzle,8g,8g,22g,192
Klöße gekocht,2g,0g,26.1g,112
Krabbenchips,4g,25g,60g,481
Krautsalat,1g,3g,12g,79
Kroketten,5.5g,7.9g,25.8g,196
Lahmacun,8g,12g,29g,256
Leberknödel,7g,4g,5g,84
Linsensuppe,12g,2g,40g,226
Maultaschen,11g,9.4g,17.9g,200
Milchreis gekocht,3.3g,0.4g,19.4g,94
Nachos mit Käse,8g,17g,32g,313
Nudelsalat mit Mayonnaise,6g,8g,15g,156
Pizza,10g,11g,30g,259
Pommes,3g,15g,38g,299
Popcorn,10g,4g,66g,340
Ratatouille,1g,1g,3g,25
Räuchertofu,18g,9g,1g,157
Rinderroulade,11.4g,5.5g,9.4g,133
Risotto,3.5g,4.5g,16.4g,120
Kartoffelrösti,3.1g,6g,19.1g,143
Röstzwiebeln,6g,42g,39g,558
Salamipizza,12g,14g,30g,294
Schweineschnitzel paniert und gebraten,20g,9.3g,11g,208
Seitan,75g,2g,12g,366
Spaghetti Bolognese,9g,5.4g,21g,169
Sülze Hausmacher Art,11g,13g,1.4g,167
Tofu,8g,4g,2g,76
Tomatensuppe,0.7g,0.3g,7g,34
Wurstsalat,2.6g,30.4g,3.4g,298
Zwiebelkuchen,6.9g,13.4g,12g,196
Anis,6.3g,2g,65g,303
Apfelessig,0g,0g,1g,4
Balsamico Creme,1.7g,0.9g,51.2g,220
Balsamico Essig,0.2g,0g,16g,65
Bärlauch,1g,0.2g,2.4g,15
Basilikum,3.2g,0.6g,2.7g,29
Basilikum Pesto,5.4g,35g,4.5g,355
Beifuß getrocknet,3.1g,0.7g,5g,39
Bockshornklee,23g,6g,58g,378
Bohnenkraut getrocknet,6g,6g,54g,294
Borretsch,1.8g,0.7g,3.1g,26
Bratensauce,1g,1.6g,6g,42
Curry,13g,14g,25g,278
Dill,16g,15g,34g,335
Essig,0.4g,0.1g,0.1g,20
Essig Öl Dressing,0g,40g,0g,360
Estragon frisch,3g,1g,6g,45
Estragon getrocknet,23g,7g,50g,355
Guacamole,2g,15g,3.2g,156
Joghurtdressing,1.5g,12g,8g,146
Kardamom gemahlen,10.6g,6.4g,65.9g,364
Kerbel,3.8g,0.6g,6.1g,45
Ketchup,1g,0.7g,28g,122
Koriander frisch,2.1g,0.5g,0.9g,17
Koriander gemahlen,12g,20g,26g,332
Kresse,2.6g,0.8g,5g,38
Kreuzkümmel,16.9g,22.1g,33g,399
Kümmel,19g,15g,37g,359
Kurkuma,8g,10g,44g,298
Liebstöckel,3g,1g,5g,41
Lorbeer getrocknet,7.6g,8.6g,45.4g,289
Löwenzahn,2.7g,0.7g,9g,53
Majoran gerebelt,12g,12g,42g,324
Muskat gemahlen,5.7g,35g,45g,518
Nelken getrocknet,5.8g,21.2g,50.1g,414
Oregano getrocknet,9.1g,4g,27g,180
Paprikapulver edelsüß,13g,13g,35g,309
Paprikapulver Rosenscharf,13g,13g,36g,313
Pfeffer,10g,3.5g,60g,312
Pfefferminze,3.6g,0.9g,15g,83
Rosmarin,3.3g,6g,5g,87
Salbei getrocknet,10g,12g,43.4g,322
Salz,0g,0g,0g,0
Sauce Bolognese,6.9g,8.1g,6g,125
Sauce Hollandaise,2.8g,54g,0.9g,501
Schnittlauch,3.3g,0.7g,1.9g,27
Senf,4.3g,3g,6g,68
Sojasauce,8g,0.5g,4.9g,56
Tabasco,2.4g,3.5g,7g,69
Tahina Sesampaste,17g,54g,21g,638
Tomatensauce,1.2g,0.4g,7.1g,37
Tzatziki,3.5g,7g,6g,101
Vanilleschote,0.1g,0.1g,13g,53
Wacholderbeeren,19g,13.4g,33g,329
Weißweinessig,0.2g,0g,1g,5
Weizengras Pulver,14.7g,1.4g,2.3g,81
Zimt,4g,1.2g,30g,147
Zitronengras,1.5g,0.5g,25.3g,112